Name,On a Scale of 1-5 Rate the Place,A Detailed Review of the Place
Milind Kshirsagar,5,"A wide range of birds and animals including Lions, hippos, rhinos, tigers, giraffe, crocks, snakes. It's a very large zoo. Hire battery operated vehicle if you want to preserve your energy for other places."
RAJENDRA884 PRASAD,4,Visited this place around sunset and got lovely views and found it one of the best places in Hyderabad to spend evening and go for long walks.
Ravindra V,4,"Lot to learn for people of any age group. There are so many science experiments. There are other exhibits related to dinosaurs, Antarctica, submerged Dwaraka etc. Photography and videography are not allowed within the buildings."
Gerado Clausell Cabtavella,5,"1st place in the world to visit, too many locations tlthose make the movies, uncountable picture you can take that it seems like you're on another countries"
Anand R,4,Nicely Maintained. The Garden and Walking Area is beautifully maintained with Lawns and most importantly its clean. 
Krishna Sandeep Siram,5,"Good location to visit in Hyerabad, But lake is not maintained well. We can Experience boating in the lake. It was a good experience but we have to bear some smell"
Bala annarapu,5,It was wonderful day spend over there out and staff was too politeful and helpful 💫😍 and must visit place
Kapil R,1,"Very unprofessional peoples, i have booked transport for pickup from santosh dhaba, begum bazar nd pickup time was 7:15. But no one reached there nd when talk to customer care even they also don’t know about the pickup. After that they ( mohammed Yasir) are asking us to come to another point nd giving  excuses that by mistake santosh dhaba was printed on ticket.I don’t understand that how there could be misprinting.My parents are senior citizens those who are facing this problem."
alpsbt27,4,we visited this lake at night time and enjoyed it very well. here many people come to spend quality time. we really enjoyed the time and place and it is remarkable in the tour.
Vipin Tiwari,5,"historical monument charminar, visited last month very good place and clean must visit situated in center of hyderabad city"
Talent P,4,structure is an example for Indo-Islamic architecture combined with few Persian elements. The monument is located in the heart of old city and it is believed that Hyderabad was measured in four directions from Charminar for administrative purposes. 
Praveen Anand,5,"Learn about the film making and visit many locations, which were part of many great films. Very well  clean and maintained place. You need full day to visit"
casandeep,5,If you are visiting Hyderabad this place you must visit. Though you will have to walk a lot but its worth to do so.  Taking a guide along is must if you really want to understand the rich history and the beautiful architecture. How things were visualized 500 years back is simply unbelievable.
OMKAR PAGADALA,4,NTR Gardens has a nice atmosphere. The place very much peaceful and calm. We can experience an peaceful climate in a very busy city like Hyderabad.
Tour67130045432,4,It's really awesome dude ! And should come with friends to enjoy more more and have plenty of fun. 
abizer p,4,Anlandmark of the city. The views from top are great. One can take great pictures from top. The climb is interesting as well as exhausting.  Some good architecture and writingson the walls . Its a must visit. A bit run down. Ammonia odour on the steps which go down. Authorities must lok into that. 
MANOJ KANDEYANG,5,"Memorable trip with lot of happening,buses are available round the clock... Free rides for children and adults are also there..will suggest to travel alongwith family friends,it's tiring to cover all points but are worth to visit..,birds section and small water fall are scenic ,adventure sports were great..zipline,uppernet,ATV..be hydrated ..every point has snack kiosks..Filmi Duniya ride was entertaining "
Kaushik G,5,"We had visited Ramoji Film City on a day tour during our holiday in Hyderabad. We had booked tickets online through Makemytrip priced at 1150 rupees per person and collected physical tickets from the counter at Ramoji Film City. Once inside the gate, a bus took us to the actual amusement park area. There was a grand welcome show with song and dance at 9.45 am. Next we boarded their red bus for a grand tour which took us to different locations like Bahubali movie set, Japanese Gardens, London street, Butterfly park, Bird park, Kripalu caves and many more. In the 2nd half we attended different mind boggling shows out of which the best was the Spirit of Ramoji show. In between we squeezed time for burgers and fries. To sum it up, this was surely one of the great experience to cherish for a lifetime."
